Year,Quarter,Company_ID,Revenue,Expenses,Operating_Income,Net_Income,Assets,Liabilities,Equity,Cash_Flow,EPS,ROE,ROA,Debt_to_Equity,Stock_Price,Volume_Traded,News_Sentiment_Score,Social_Media_Buzz,Sector_Trend_Index,Global_Economic_Score,Inflation_Rate,Exchange_Rate,Interest_Rate,Audit_Flag,Fraud_Flag,Market_Shock_Flag,Policy_Change_Flag,Target_Revenue_Next_Qtr,Target_Anomaly_Class
2015,1,CMP_001,229991.3061,212058.6555,17932.65064,10592.37103,531737.3791,171875.3048,359862.0743,18585.01322,1.65246693,2.943453003,1.992030549,0.477614389,359.8748373,2685,-0.887176842,343,0.832442641,0.212339111,2.27277477,64.58511275,4.433937944,0,0,0,0,232953.1703,0
2015,2,CMP_001,214801.5217,190523.2287,24278.29303,7500.653613,515383.5079,260626.2319,254757.276,11386.87215,5.289400208,2.944235285,1.455353828,1.023037441,311.6215289,31740,-0.099001496,273,0.948885537,0.965632033,6.658781437,67.61534423,2.781376912,0,0,0,0,202861.8164,0
2015,3,CMP_001,231901.9884,185517.519,46384.46937,36708.80323,705013.5932,365679.3493,339334.2438,34481.62006,3.7741945,10.81788941,5.206822051,1.077637627,392.0637552,1161,-0.209699528,995,0.597899979,0.921874235,1.619447514,64.89957156,2.361818311,0,0,0,0,226367.1549,0
2015,4,CMP_001,213291.5593,186390.8956,26900.66373,9867.709016,458385.1648,318465.2818,139919.8829,16451.38056,3.538790508,7.052399423,2.152711251,2.276054519,22.65061622,6258,-0.602315192,391,0.729007168,0.771270347,1.518312562,68.96164321,2.926952476,0,0,0,0,220837.208,0
2016,1,CMP_001,210824.8234,185755.8298,25068.99357,9124.900899,690475.5294,452182.134,238293.3953,11208.12478,4.394687192,3.829271427,1.321538637,1.897585678,362.3574979,18412,0.122554395,766,0.256068323,0.04043359,5.974640228,62.77227052,5.514692015,0,0,0,0,210554.5643,0
2016,2,CMP_001,227546.4052,205768.1475,21778.25771,13732.33934,884178.6916,477055.2413,407123.4503,19154.11334,1.538773571,3.373016055,1.553118105,1.171770481,319.6899431,43557,0.266807513,645,0.45653457,0.218440437,3.915569635,82.08200647,4.594760168,0,0,1,0,255190.7994,1
2016,3,CMP_001,208168.9243,187469.2227,20699.70159,13229.86379,638699.4884,315474.1084,323225.38,18616.40429,3.863059913,4.093077033,2.071375355,0.976018988,137.1802507,8994,-0.353594136,607,0.558102002,0.403836171,1.45424573,66.34788535,3.975008503,0,0,0,1,210735.5137,0
2016,4,CMP_001,221994.2298,209292.0808,12702.149,-2508.432772,679717.2874,325661.5694,354055.718,784.9635636,-0.396009733,-0.708485316,-0.369040602,0.919803163,58.80959664,45215,-0.524724912,766,0.803139756,0.470300634,7.883961986,69.97061106,8.531454986,0,0,0,0,215987.2535,0
2017,1,CMP_001,218363.2323,205621.102,12742.13031,4438.514592,747304.2856,466168.7261,281135.5595,4668.504402,2.379149259,1.578780927,0.593936724,1.65816351,471.451167,19343,-0.226529307,337,0.837710106,0.675690117,6.146512835,65.22679052,6.331583791,0,0,0,1,209973.4585,0
2017,2,CMP_001,224214.0107,207004.152,17209.85873,9379.252104,573481.7503,332701.4987,240780.2515,17079.16924,1.077218303,3.895357715,1.63549269,1.381764063,214.163901,13183,0.701856898,624,0.161628714,0.898554189,5.245003418,60.22992629,2.811772343,0,0,0,0,232307.4267,0
2017,3,CMP_001,234380.2937,210144.1601,24236.13361,15872.09397,802602.1376,316947.2912,485654.8464,15753.08944,2.056390884,3.268183997,1.977579329,0.652618405,331.8237915,47214,0.441879849,639,0.568308603,0.093674768,3.574010621,66.63005919,3.951917147,1,0,0,0,241533.598,1
2017,4,CMP_001,238796.9033,194766.5914,44030.3119,36101.66708,822632.4625,339178.7227,483453.7398,31466.40658,5.301856088,7.467450163,4.388553665,0.701574308,105.0131261,19589,0.907857154,372,0.883494022,0.747718774,7.671502929,68.26875762,6.422119735,0,1,0,0,271943.5294,1
2018,1,CMP_001,216255.1986,189457.4978,26797.70082,14518.5027,593701.3422,271841.9441,321859.3981,22181.69981,1.549441616,4.51082143,2.44542191,0.844598436,53.79974281,46681,0.230014453,853,0.358646781,0.254163649,3.067034119,68.06376911,8.789358359,0,0,0,0,209322.6284,0
2018,2,CMP_001,217335.6772,190236.8407,27098.83648,22021.06354,707599.0702,267266.9486,440332.1216,18085.17729,4.817501913,5.001012294,3.112082034,0.606966731,44.3688949,23386,-0.324009686,91,0.578864896,0.438474123,5.704182947,68.20381669,3.240332934,1,0,0,0,225553.9778,1
2018,3,CMP_001,201152.0771,201447.4766,-295.3994857,-17713.43454,511546.9973,350972.7694,160574.2279,-15854.45712,-2.064934216,-11.03130606,-3.462718897,2.185735369,113.3024163,33093,0.081270243,822,0.138353092,0.132745422,7.78675807,77.8648776,2.328540134,0,0,0,0,221519.0554,0
2018,4,CMP_001,215511.6901,182344.9619,33166.72823,26758.62888,509842.9005,343555.3946,166287.5058,31332.68779,4.735817283,16.09178558,5.248406686,2.066032519,335.4134377,17964,0.223441492,246,0.047716128,0.56603721,2.110525133,63.0041162,4.735037334,0,0,0,1,219019.1078,0
2019,1,CMP_001,230553.0037,203129.3062,27423.69753,17229.13271,675369.8941,378146.0016,297223.8926,12950.01658,1.805551261,5.796684972,2.551066144,1.272259771,445.6065859,41158,-0.969390919,658,0.503136259,0.856489841,5.610855421,64.07336068,2.564549979,0,0,0,1,219971.7554,0
2019,2,CMP_001,236906.579,191376.4739,45530.10508,32345.85324,919891.572,418036.4966,501855.0754,41763.7117,3.53577858,6.44525777,3.516268029,0.832982502,113.9797447,44404,-0.570821761,301,0.018221826,0.094442961,5.781047414,61.77971621,4.551805042,0,0,0,0,264021.1779,0
2019,3,CMP_001,226815.0773,190624.1574,36190.91987,21756.77717,851677.9197,505920.8868,345757.0328,28808.99112,6.148915747,6.292504593,2.554578047,1.463226598,105.170981,19888,0.137040567,738,0.990505142,0.412617677,3.604126601,79.41032402,4.726428322,0,0,0,0,229918.6755,0
2019,4,CMP_001,225772.7096,197444.0747,28328.63497,10931.77298,596062.3505,392333.7774,203728.5732,11769.79816,9.960260495,5.365851639,1.833998234,1.92576707,454.5833487,37939,-0.290189619,795,0.950061967,0.950607147,5.014065217,75.7959303,5.587564176,0,0,0,0,240953.0713,0
2020,1,CMP_001,229733.7671,203404.4885,26329.27854,19961.187,686637.6124,221800.0875,464837.5249,23204.12023,4.013287484,4.294228829,2.907091985,0.477156158,446.0980077,38098,0.411662968,750,0.142991682,0.761510632,5.327526443,62.5280669,2.672854449,0,0,0,0,247233.5469,0
2020,2,CMP_001,217697.4915,190901.5962,26795.89532,20543.38457,773760.8512,404956.7944,368804.0568,21906.71471,2.243415913,5.570270768,2.65500439,1.098026952,73.37479151,45482,-0.492635652,753,0.468660642,0.056303276,1.831725414,62.93815617,7.193682417,0,0,1,0,236072.1295,1
2020,3,CMP_001,230455.2233,193445.6289,37009.59444,28655.65686,904869.7775,275860.22,629009.5575,38203.83926,20.63875516,4.555679086,3.166826606,0.438562843,447.7486946,28509,0.84928666,763,0.073796565,0.553854284,7.785117749,73.0774461,7.035189105,0,0,0,0,236346.2863,0
2020,4,CMP_001,233582.1934,183273.3566,50308.83685,42487.01945,683787.7679,301783.5029,382004.265,46241.86113,24.99807376,11.12213222,6.213480475,0.79000035,487.7095077,21159,-0.093518306,958,0.536096366,0.309527616,6.696565138,77.11827931,3.300935515,0,0,1,0,247914.8567,1
2021,1,CMP_001,208487.5247,215042.0487,-6554.523994,-25545.45124,778102.0826,247504.5213,530597.5613,-30149.94663,-5.821435698,-4.814468273,-3.28304625,0.466463737,409.0655988,9415,0.970572101,778,0.594130715,0.380890857,7.789400785,81.05297308,8.706629638,0,0,0,0,216905.3279,0
2021,2,CMP_001,226217.7205,211992.9135,14224.80703,-4946.678923,836846.0328,333850.7209,502995.3119,-3188.516893,-2.287550621,-0.98344434,-0.591109801,0.663725313,477.9444931,18100,-0.585544702,448,0.671700684,0.61812824,3.507139026,62.8389398,7.372585565,0,0,0,0,235831.5979,0
2021,3,CMP_001,245432.0217,214305.7698,31126.25193,12976.44789,688919.2747,243606.052,445313.2227,8408.188036,1.664450519,2.914004622,1.883594837,0.547044282,317.7485846,38441,0.610089335,102,0.136371476,0.014544666,3.454112912,74.74794217,5.137952361,0,0,0,0,248016.7695,0
2021,4,CMP_001,237495.6058,206820.9649,30674.64092,11431.83156,544849.8225,365395.388,179454.4345,13813.57596,3.438972775,6.370325477,2.098161932,2.036145771,240.385163,28169,0.241611369,449,0.32875161,0.633400854,2.681019331,61.8965832,3.031037775,0,0,0,0,247762.0711,0
2022,1,CMP_001,217298.8123,187080.9465,30217.86578,11766.03963,640580.2276,363223.7835,277356.4441,9350.8377,4.308955758,4.242208855,1.836778459,1.309592011,39.61693581,22508,-0.309834744,681,0.177010484,0.088702534,1.844451098,71.5194692,3.650669747,0,0,0,0,228290.5597,0
2022,2,CMP_001,236077.1459,205561.6236,30515.52229,14291.62693,559276.683,214616.683,344660.0001,14848.70848,2.665996722,4.146587051,2.555376859,0.622691008,316.7622903,9150,0.062531508,385,0.747470938,0.036683203,2.76705861,77.83373965,9.161654701,0,0,0,0,237301.3124,0
